year,st_abr,st_name,st_code,st_south,st_pop,st_uemp,inc_icpsr,inc_pos,inc_spend,ch_qual,ch_spend,ch_wealthy,inc_2p_share,st_id,inc_tenure,inc_rep
1986,LA,Louisiana,45,1,4406919,12.5,5767,-0.10499999672174454,NA,NA,NA,NA,NA,49.70000076293945,38,0
1986,MD,Maryland,52,0,4486957,4.599999904632568,10535,-0.10100000351667404,NA,NA,NA,NA,NA,12.899999618530273,18,1
1986,MO,Missouri,34,0,5023068,6.199999809265137,12104,-0.3490000069141388,NA,NA,NA,NA,NA,15.899999618530273,18,0
1986,NC,North Carolina,47,1,6321578,5.300000190734863,10574,0.2720000147819519,5188244,3,4168509,0,0.48240652680397034,22.700000762939453,1,1
1986,ND,North Dakota,36,0,669512,5.900000095367432,10569,0.0860000029206276,2270557,3,907374,0,0.49626395106315613,34.599998474121094,6,1
1986,NH,New Hampshire,4,0,1025053,2.5,14909,0.24400000274181366,831098,4,307760,0,0.6604375839233398,41.599998474121094,6,1
1986,NV,Nevada,65,0,980613,6.599999904632568,14077,0.47099998593330383,NA,NA,NA,NA,NA,16,12,1
1986,NY,New York,13,0,17833419,6.199999809265137,14900,0.13500000536441803,12914822,0,1635031,0,0.5798482298851013,7.300000190734863,6,1
1986,OH,Ohio,24,0,10730268,8.199999809265137,14304,-0.2669999897480011,1319026,4,657908,0,0.624525785446167,9.600000381469727,12,0
1986,OK,Oklahoma,53,0,3252735,8.5,14908,0.45899999141693115,3252964,4,2564983,0,0.5521481037139893,24.299999237060547,6,1
1986,OR,Oregon,72,0,2683528,8,12107,0.06599999964237213,6523290,1,64139,0,0.635934054851532,2.0999999046325684,18,1
1986,PA,Pennsylvania,14,0,11782752,6.900000095367432,14910,0.02800000086426735,5993230,4,3972377,0,0.5683087110519409,11.300000190734863,6,1
1986,SC,South Carolina,48,1,3342758,6.199999809265137,11204,-0.19099999964237213,2233843,0,584288,0,0.6390842199325562,30.399999618530273,20,0
1986,SD,South Dakota,37,0,696034,4.699999809265137,14000,0.2329999953508377,3410387,4,3485870,0,0.4839705228805542,25.5,6,1
1986,UT,Utah,67,0,1662834,6.199999809265137,14303,0.48100000619888306,752944,0,24508,0,0.7314236760139465,14,12,1
1986,VT,Vermont,6,0,534066,4.400000095367432,14307,-0.3619999885559082,1705099,3,1502304,0,0.6467400789260864,11.800000190734863,12,0
1986,WA,Washington,73,0,4452720,8,14904,0.20800000429153442,3290072,4,1912307,0,0.4900105595588684,9.600000381469727,6,1
1986,WI,Wisconsin,25,0,4755618,6.900000095367432,14242,0.22499999403953552,3433870,0,1306702,0,0.5177045464515686,14.899999618530273,6,1
1988,AZ,Arizona,61,0,3535183,6.300000190734863,14502,-0.16500000655651093,2640650,0,238369,0,0.5800829529762268,13.399999618530273,12,0
1988,CA,California,71,0,28464249,5.300000190734863,14915,0.3009999990463257,12969294,3,6987862,0,0.5453921556472778,11.399999618530273,6,1
